rank,name,slug,download_url,source_type
272,Admin and Site Enhancements (ASE),admin-site-enhancements,https://downloads.wordpress.org/plugin/admin-site-enhancements.8.8.4.zip,public
273,ReCaptcha v2 for Contact Form 7,wpcf7-recaptcha,https://downloads.wordpress.org/plugin/wpcf7-recaptcha.1.5.0.zip,public
274,Force Regenerate Thumbnails,force-regenerate-thumbnails,https://downloads.wordpress.org/plugin/force-regenerate-thumbnails.2.3.0.zip,public
275,WP Consent API,wp-consent-api,https://downloads.wordpress.org/plugin/wp-consent-api.2.0.1.zip,public
276,CMP &#8211; Coming Soon &amp; Maintenance Plugin by NiteoThemes,cmp-coming-soon-maintenance,https://downloads.wordpress.org/plugin/cmp-coming-soon-maintenance.4.1.17.zip,public
277,Favicon by RealFaviconGenerator,favicon-by-realfavicongenerator,https://downloads.wordpress.org/plugin/favicon-by-realfavicongenerator.1.3.48.zip,public
278,Imsanity,imsanity,https://downloads.wordpress.org/plugin/imsanity.2.9.2.zip,public
279,Layout Grid Block,layout-grid,https://downloads.wordpress.org/plugin/layout-grid.zip,public
280,Cloudflare,cloudflare,https://downloads.wordpress.org/plugin/cloudflare.4.14.3.zip,public
281,Black Studio TinyMCE Widget,black-studio-tinymce-widget,https://downloads.wordpress.org/plugin/black-studio-tinymce-widget.2.7.3.zip,public
282,CartFlows – Funnel Builder &amp; Checkout Plugin for WooCommerce,cartflows,https://downloads.wordpress.org/plugin/cartflows.3.1.1.zip,public
283,White Label CMS,white-label-cms,https://downloads.wordpress.org/plugin/white-label-cms.2.7.12.zip,public
284,WP Migrate Lite &#8211; Migration Made Easy,wp-migrate-db,https://downloads.wordpress.org/plugin/wp-migrate-db.2.7.9.zip,public
285,All 404 Redirect to Homepage,all-404-redirect-to-homepage,https://downloads.wordpress.org/plugin/all-404-redirect-to-homepage.5.6.zip,public
286,Call Now Button &#8211; The #1 Click to Call Button for WordPress,call-now-button,https://downloads.wordpress.org/plugin/call-now-button.2.0.2.zip,public
287,"Jetpack Boost &#8211; Website Speed, Performance and Critical CSS",jetpack-boost,https://downloads.wordpress.org/plugin/jetpack-boost.4.6.1.zip,public
288,Burst Statistics – Simple WordPress Analytics (Google Analytics Alternative),burst-statistics,https://downloads.wordpress.org/plugin/burst-statistics.3.5.0.zip,public
289,Use Any Font | Custom Font Uploader,use-any-font,https://downloads.wordpress.org/plugin/use-any-font.6.3.14.zip,public
290,"Variation Swatches for WooCommerce – Color, Image &amp; Size Swatches",variation-swatches-woo,https://downloads.wordpress.org/plugin/variation-swatches-woo.1.0.13.zip,public
291,Skyboot Custom Icons for Elementor,skyboot-custom-icons-for-elementor,https://downloads.wordpress.org/plugin/skyboot-custom-icons-for-elementor.1.1.0.zip,public
292,Page Optimize,page-optimize,https://downloads.wordpress.org/plugin/page-optimize.0.6.3.zip,public
293,Table of Contents Plus,table-of-contents-plus,https://downloads.wordpress.org/plugin/table-of-contents-plus.2411.1.zip,public
294,CleanTalk Anti-Spam. Spam Firewall &amp; Bot protection,cleantalk-spam-protect,https://downloads.wordpress.org/plugin/cleantalk-spam-protect.6.81.zip,public
295,TikTok,tiktok-for-business,https://downloads.wordpress.org/plugin/tiktok-for-business.1.4.0.zip,public
296,Query Monitor,query-monitor,https://downloads.wordpress.org/plugin/query-monitor.4.0.6.zip,public
297,User Switching,user-switching,https://downloads.wordpress.org/plugin/user-switching.1.12.0.zip,public
298,"Fonts Plugin | Google Fonts, Adobe Fonts &amp; Upload Fonts",olympus-google-fonts,https://downloads.wordpress.org/plugin/olympus-google-fonts.4.1.3.zip,public
299,"UserFeedback &#8211; Create Interactive Feedback Form, User Surveys, and Polls in Seconds",userfeedback-lite,https://downloads.wordpress.org/plugin/userfeedback-lite.1.11.2.zip,public
300,Widget Importer &amp; Exporter,widget-importer-exporter,https://downloads.wordpress.org/plugin/widget-importer-exporter.1.6.1.zip,public
