rank,name,slug,download_url,source_type
155,Photo Gallery  Sliders  Proofing and Themes - NextGEN Gallery,nextgen-gallery,https://downloads.wordpress.org/plugin/nextgen-gallery.latest-stable.zip,public
156,Custom Fonts - Host Your Fonts Locally,custom-fonts,https://downloads.wordpress.org/plugin/custom-fonts.latest-stable.zip,public
157,Floating Chat Widget: Contact Chat Icons  Telegram Chat  Line Messenger  WeChat  Email  SMS  Call Button – Chaty,chaty,https://downloads.wordpress.org/plugin/chaty.latest-stable.zip,public
158,Templately – Elementor & Gutenberg Template Library: 6500+ Free & Pro Ready Templates And Cloud!,templately,https://downloads.wordpress.org/plugin/templately.latest-stable.zip,public
159,Admin Menu Editor,admin-menu-editor,https://downloads.wordpress.org/plugin/admin-menu-editor.latest-stable.zip,public
160,Post SMTP – Complete Email Deliverability and SMTP Solution with Email Logs  Alerts  Backup SMTP & Mobile App,post-smtp,https://downloads.wordpress.org/plugin/post-smtp.latest-stable.zip,public
161,CF7 Apps – Honeypot  Database  Redirection  Webhook  and Addons for Contact Form 7,contact-form-7-honeypot,https://downloads.wordpress.org/plugin/contact-form-7-honeypot.latest-stable.zip,public
162,Max Mega Menu,megamenu,https://downloads.wordpress.org/plugin/megamenu.latest-stable.zip,public
163,WebP Express,webp-express,https://downloads.wordpress.org/plugin/webp-express.latest-stable.zip,public
164,Duplicate Post,copy-delete-posts,https://downloads.wordpress.org/plugin/copy-delete-posts.latest-stable.zip,public
165,Jeg Kit for Elementor – Powerful Addons for Elementor  Widgets & Templates for WordPress,jeg-elementor-kit,https://downloads.wordpress.org/plugin/jeg-elementor-kit.latest-stable.zip,public
166,Gutenberg,gutenberg,https://downloads.wordpress.org/plugin/gutenberg.latest-stable.zip,public
167,SureRank SEO – Smart Assistant with Meta Tags  Social Preview  XML Sitemap  and Schema,surerank,https://downloads.wordpress.org/plugin/surerank.latest-stable.zip,public
168,Blocksy Companion,blocksy-companion,https://downloads.wordpress.org/plugin/blocksy-companion.latest-stable.zip,public
169,WP Reset,wp-reset,https://downloads.wordpress.org/plugin/wp-reset.latest-stable.zip,public
170,PDF Invoices & Packing Slips for WooCommerce,woocommerce-pdf-invoices-packing-slips,https://downloads.wordpress.org/plugin/woocommerce-pdf-invoices-packing-slips.latest-stable.zip,public
171,Formidable Forms - Contact Form Plugin  Survey  Quiz  Payment  Calculator Form & Custom Form Builder,formidable,https://downloads.wordpress.org/plugin/formidable.latest-stable.zip,public
172,Cart Abandonment Recovery for WooCommerce – Recover Lost Sales with Automated Emails,woo-cart-abandonment-recovery,https://downloads.wordpress.org/plugin/woo-cart-abandonment-recovery.latest-stable.zip,public
173,SEOPress - AI SEO Plugin & On-site SEO,wp-seopress,https://downloads.wordpress.org/plugin/wp-seopress.latest-stable.zip,public
174,WP Mail Logging,wp-mail-logging,https://downloads.wordpress.org/plugin/wp-mail-logging.latest-stable.zip,public
175,Child Theme Configurator,child-theme-configurator,https://downloads.wordpress.org/plugin/child-theme-configurator.latest-stable.zip,public
176,WP Crontrol,wp-crontrol,https://downloads.wordpress.org/plugin/wp-crontrol.latest-stable.zip,public
177,GDPR Cookie Compliance - Cookie Banner  Cookie Consent  Cookie Notice for CCPA  EU Cookie Law,gdpr-cookie-compliance,https://downloads.wordpress.org/plugin/gdpr-cookie-compliance.latest-stable.zip,public
178,Page Builder Gutenberg Blocks – CoBlocks,coblocks,https://downloads.wordpress.org/plugin/coblocks.latest-stable.zip,public
179,Variation Swatches for WooCommerce,woo-variation-swatches,https://downloads.wordpress.org/plugin/woo-variation-swatches.latest-stable.zip,public
180,301 Redirects - Redirect Manager,eps-301-redirects,https://downloads.wordpress.org/plugin/eps-301-redirects.latest-stable.zip,public
181,Otter Blocks - Gutenberg Blocks  Page Builder for Gutenberg Editor & FSE,otter-blocks,https://downloads.wordpress.org/plugin/otter-blocks.latest-stable.zip,public
182,Unlimited Elements For Elementor,unlimited-elements-for-elementor,https://downloads.wordpress.org/plugin/unlimited-elements-for-elementor.latest-stable.zip,public
183,Really Simple CAPTCHA,really-simple-captcha,https://downloads.wordpress.org/plugin/really-simple-captcha.latest-stable.zip,public
184,AddToAny Share Buttons,add-to-any,https://downloads.wordpress.org/plugin/add-to-any.latest-stable.zip,public
185,Simple History – Track  Log  and Audit WordPress Changes,simple-history,https://downloads.wordpress.org/plugin/simple-history.latest-stable.zip,public
186,CMB2,cmb2,https://downloads.wordpress.org/plugin/cmb2.latest-stable.zip,public
187,WP Activity Log,wp-security-audit-log,https://downloads.wordpress.org/plugin/wp-security-audit-log.latest-stable.zip,public
188,Members - Membership & User Role Editor Plugin,members,https://downloads.wordpress.org/plugin/members.latest-stable.zip,public
189,Ad Inserter - Ad Manager & AdSense Ads,ad-inserter,https://downloads.wordpress.org/plugin/ad-inserter.latest-stable.zip,public
190,Easy Updates Manager,stops-core-theme-and-plugin-updates,https://downloads.wordpress.org/plugin/stops-core-theme-and-plugin-updates.latest-stable.zip,public
191,Limit Login Attempts,limit-login-attempts,https://downloads.wordpress.org/plugin/limit-login-attempts.latest-stable.zip,public
192,PDF Embedder,pdf-embedder,https://downloads.wordpress.org/plugin/pdf-embedder.latest-stable.zip,public
193,Sticky Header Effects for Elementor,sticky-header-effects-for-elementor,https://downloads.wordpress.org/plugin/sticky-header-effects-for-elementor.latest-stable.zip,public
194,Password Protected — Lock Entire Site  Pages  Posts  Categories  and Partial Content,password-protected,https://downloads.wordpress.org/plugin/password-protected.latest-stable.zip,public
195,Simple Custom Post Order,simple-custom-post-order,https://downloads.wordpress.org/plugin/simple-custom-post-order.latest-stable.zip,public
196,Complianz - Terms and Conditions,complianz-terms-conditions,https://downloads.wordpress.org/plugin/complianz-terms-conditions.latest-stable.zip,public
197,Pinterest for WooCommerce,pinterest-for-woocommerce,https://downloads.wordpress.org/plugin/pinterest-for-woocommerce.latest-stable.zip,public
198,WP Go Maps - Google Maps  OpenStreetMap  Leaflet Map,wp-google-maps,https://downloads.wordpress.org/plugin/wp-google-maps.latest-stable.zip,public
199,ShortPixel Image Optimizer - Optimize Images  Convert WebP & AVIF,shortpixel-image-optimiser,https://downloads.wordpress.org/plugin/shortpixel-image-optimiser.latest-stable.zip,public
200,ExactMetrics - Google Analytics Dashboard for WordPress (Website Stats Plugin),google-analytics-dashboard-for-wp,https://downloads.wordpress.org/plugin/google-analytics-dashboard-for-wp.latest-stable.zip,public
